1 января 1925 года, процент освещенности луны 44%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
3 февраля 1925 года, процент освещенности луны 75%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы
4 февраля 1925 года, процент освещенности луны 82%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы и Рак
5 февраля 1925 года, процент освещенности луны 89%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
6 февраля 1925 года, процент освещенности луны 94%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
7 февраля 1925 года, процент освещенности луны 98%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак и Лев
8 февраля 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 23:48, Луна находится в знаке зодиака Лев
9 февраля 1925 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Лев и Дева
10 февраля 1925 года, процент освещенности луны 98%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева
11 февраля 1925 года, процент освещенности луны 94%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева
12 февраля 1925 года, процент освещенности луны 88%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева и Весы
13 февраля 1925 года, процент освещенности луны 81%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы
14 февраля 1925 года, процент освещенности луны 72%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы и Скорпион
15 февраля 1925 года, процент освещенности луны 62%, по лунному календарю идет 21, 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион
16 февраля 1925 года, процент освещенности луны 50%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион и Стрелец
17 февраля 1925 года, процент освещенности луны 39%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец
18 февраля 1925 года, процент освещенности луны 28%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец и Козерог
19 февраля 1925 года, процент освещенности луны 18%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог
20 февраля 1925 года, процент освещенности луны 10%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог и Водолей
21 февраля 1925 года, процент освещенности луны 4%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей
22 февраля 1925 года, процент освещенности луны 1%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей и Рыбы
23 февраля 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 1, 2 лунный день, Новолуние в 4:10, Луна находится в знаке зодиака Рыбы
24 февраля 1925 года, процент освещенности луны 2%, , по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы
25 февраля 1925 года, процент освещенности луны 7%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
26 февраля 1925 года, процент освещенности луны 13%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен
27 февраля 1925 года, процент освещенности луны 21%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен и Телец
28 февраля 1925 года, процент освещенности луны 30%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец
1 марта 1925 года, процент освещенности луны 39%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец и Близнецы
2 марта 1925 года, процент освещенности луны 49%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
3 марта 1925 года, процент освещенности луны 58%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы
4 марта 1925 года, процент освещенности луны 67%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы и Рак
5 марта 1925 года, процент освещенности луны 76%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
6 марта 1925 года, процент освещенности луны 84%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак и Лев
7 марта 1925 года, процент освещенности луны 90%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев
8 марта 1925 года, процент освещенности луны 95%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев
9 марта 1925 года, процент освещенности луны 98%, по лунному календарю идет 15, 16 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев и Дева
10 марта 1925 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Полнолуние в 16:20, Луна находится в знаке зодиака Дева
11 марта 1925 года, процент освещенности луны 99%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Дева и Весы
12 марта 1925 года, процент освещенности луны 96%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы
13 марта 1925 года, процент освещенности луны 91%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы и Скорпион
14 марта 1925 года, процент освещенности луны 84%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион
15 марта 1925 года, процент освещенности луны 76%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион и Стрелец
16 марта 1925 года, процент освещенности луны 65%, по лунному календарю идет 21, 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец
17 марта 1925 года, процент освещенности луны 54%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец
18 марта 1925 года, процент освещенности луны 43%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Стрелец и Козерог
19 марта 1925 года, процент освещенности луны 32%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог
20 марта 1925 года, процент освещенности луны 21%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог и Водолей
21 марта 1925 года, процент освещенности луны 13%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей
22 марта 1925 года, процент освещенности луны 6%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей и Рыбы
23 марта 1925 года, процент освещенности луны 2%, , по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы
24 марта 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 16:02, Луна находится в знаке зодиака Рыбы и Овен
25 марта 1925 года, процент освещенности луны 1%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен
26 марта 1925 года, процент освещенности луны 4%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Овен и Телец
27 марта 1925 года, процент освещенности луны 9%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец
28 марта 1925 года, процент освещенности луны 15%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец
29 марта 1925 года, процент освещенности луны 23%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец и Близнецы
30 марта 1925 года, процент освещенности луны 32%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
31 марта 1925 года, процент освещенности луны 41%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы и Рак
1 апреля 1925 года, процент освещенности луны 50%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
2 апреля 1925 года, процент освещенности луны 60%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак
3 апреля 1925 года, процент освещенности луны 69%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Рак и Лев
4 апреля 1925 года, процент освещенности луны 77%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев
5 апреля 1925 года, процент освещенности луны 85%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев и Дева
6 апреля 1925 года, процент освещенности луны 92%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
7 апреля 1925 года, процент освещенности луны 96%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева и Весы
8 апреля 1925 года, процент освещенности луны 99%, по лунному календарю идет 15, 16 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы
9 апреля 1925 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Полнолуние в 5:32, Луна находится в знаке зодиака Весы
10 апреля 1925 года, процент освещенности луны 98%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Весы и Скорпион
11 апреля 1925 года, процент освещенности луны 94%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион
12 апреля 1925 года, процент освещенности луны 87%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион и Стрелец
13 апреля 1925 года, процент освещенности луны 79%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец
14 апреля 1925 года, процент освещенности луны 68%, по лунному календарю идет 20, 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец и Козерог
15 апреля 1925 года, процент освещенности луны 57%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог
16 апреля 1925 года, процент освещенности луны 46%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Козерог и Водолей
17 апреля 1925 года, процент освещенности луны 35%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей
18 апреля 1925 года, процент освещенности луны 24%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей и Рыбы
19 апреля 1925 года, процент освещенности луны 15%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы
20 апреля 1925 года, процент освещенности луны 8%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы и Овен
21 апреля 1925 года, процент освещенности луны 3%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен
22 апреля 1925 года, процент освещенности луны 1%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен
23 апреля 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 1, 2 лунный день, Новолуние в 4:26, Луна находится в знаке зодиака Овен и Телец
24 апреля 1925 года, процент освещенности луны 2%, , по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец
25 апреля 1925 года, процент освещенности луны 5%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Телец и Близнецы
26 апреля 1925 года, процент освещенности луны 11%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
27 апреля 1925 года, процент освещенности луны 17%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы и Рак
28 апреля 1925 года, процент освещенности луны 25%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
29 апреля 1925 года, процент освещенности луны 34%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
30 апреля 1925 года, процент освещенности луны 43%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак и Лев
1 мая 1925 года, процент освещенности луны 52%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
2 мая 1925 года, процент освещенности луны 62%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Лев и Дева
3 мая 1925 года, процент освещенности луны 71%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
4 мая 1925 года, процент освещенности луны 80%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
5 мая 1925 года, процент освещенности луны 88%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева и Весы
6 мая 1925 года, процент освещенности луны 94%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы
7 мая 1925 года, процент освещенности луны 98%, по лунному календарю идет 15, 16 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы и Скорпион
8 мая 1925 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Полнолуние в 15:41, Луна находится в знаке зодиака Скорпион
9 мая 1925 года, процент освещенности луны 99%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Скорпион и Стрелец
10 мая 1925 года, процент освещенности луны 96%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец
11 мая 1925 года, процент освещенности луны 89%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец и Козерог
12 мая 1925 года, процент освещенности луны 81%, по лунному календарю идет 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог
13 мая 1925 года, процент освещенности луны 71%, по лунному календарю идет 20, 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог и Водолей
14 мая 1925 года, процент освещенности луны 60%, по лунному календарю идет 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Водолей
15 мая 1925 года, процент освещенности луны 49%, по лунному календарю идет 22, 23 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Водолей и Рыбы
16 мая 1925 года, процент освещенности луны 38%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы
17 мая 1925 года, процент освещенности луны 27%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы
18 мая 1925 года, процент освещенности луны 18%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы и Овен
19 мая 1925 года, процент освещенности луны 11%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен
20 мая 1925 года, процент освещенности луны 5%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен и Телец
21 мая 1925 года, процент освещенности луны 2%, , по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Телец
22 мая 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 17:47, Луна находится в знаке зодиака Телец и Близнецы
23 мая 1925 года, процент освещенности луны 0%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
24 мая 1925 года, процент освещенности луны 3%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы
25 мая 1925 года, процент освещенности луны 7%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Близнецы и Рак
26 мая 1925 года, процент освещенности луны 12%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
27 мая 1925 года, процент освещенности луны 19%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак и Лев
28 мая 1925 года, процент освещенности луны 27%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
29 мая 1925 года, процент освещенности луны 36%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
30 мая 1925 года, процент освещенности луны 46%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев и Дева
31 мая 1925 года, процент освещенности луны 55%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева
1 июня 1925 года, процент освещенности луны 65%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Дева и Весы
2 июня 1925 года, процент освещенности луны 75%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы
3 июня 1925 года, процент освещенности луны 84%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Весы и Скорпион
4 июня 1925 года, процент освещенности луны 91%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион
5 июня 1925 года, процент освещенности луны 97%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Скорпион и Стрелец
6 июня 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 23:46, Луна находится в знаке зодиака Стрелец
7 июня 1925 года, процент освещенности луны 100%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Стрелец и Козерог
8 июня 1925 года, процент освещенности луны 97%, по лунному календарю идет 17, 18 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог
9 июня 1925 года, процент освещенности луны 91%, по лунному календарю идет 18, 19 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Козерог и Водолей
10 июня 1925 года, процент освещенности луны 83%, по лунному календарю идет 19, 20 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Водолей
11 июня 1925 года, процент освещенности луны 74%, 7по лунному календарю идет 19, 20, 21 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Водолей
12 июня 1925 года, процент освещенности луны 63%, по лунному календарю идет 20, 21, 22 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Водолей и Рыбы
13 июня 1925 года, процент освещенности луны 52%, по лунному календарю идет 21, 22, 23 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рыбы
14 июня 1925 года, процент освещенности луны 41%, по лунному календарю идет 22, 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Рыбы и Овен
15 июня 1925 года, процент освещенности луны 31%, по лунному календарю идет 23, 24 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен
16 июня 1925 года, процент освещенности луны 22%, по лунному календарю идет 24, 25 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Овен и Телец
17 июня 1925 года, процент освещенности луны 14%, по лунному календарю идет 25, 26 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Телец
18 июня 1925 года, процент освещенности луны 8%, по лунному календарю идет 26, 27 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Телец и Близнецы
19 июня 1925 года, процент освещенности луны 3%, по лунному календарю идет 27, 28 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Близнецы
20 июня 1925 года, процент освещенности луны 1%, по лунному календарю идет 28, 29 лунный день, Убывающая Луна (Четвертая фаза), Луна находится в знаке зодиака Близнецы
21 июня 1925 года, процент освещенности луны 0%, по лунному календарю идет 29, 30, 1 лунный день, Новолуние в 8:16, Луна находится в знаке зодиака Близнецы и Рак
22 июня 1925 года, процент освещенности луны 1%, по лунному календарю идет 1, 2 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак
23 июня 1925 года, процент освещенности луны 4%, по лунному календарю идет 2, 3 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рак и Лев
24 июня 1925 года, процент освещенности луны 8%, по лунному календарю идет 3, 4 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
25 июня 1925 года, процент освещенности луны 15%, по лунному календарю идет 4, 5 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев
26 июня 1925 года, процент освещенности луны 22%, по лунному календарю идет 5, 6 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Лев и Дева
27 июня 1925 года, процент освещенности луны 30%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Дева
